NUMBER,ENGLISH_WORD,POS,NUMBER_OF_TRANSLATIONS,AMBIGUITY,AMBIGUITY_SOURCE
110,autumn,noun,3,Ambiguous,Form
110,autumn,noun,3,Ambiguous,Form
110,autumn,noun,3,Ambiguous,Form
104,bag,noun,3,Ambiguous,Form and Meaning
104,bag,noun,3,Ambiguous,Form and Meaning
104,bag,noun,3,Ambiguous,Form and Meaning
247,baker,noun,3,Ambiguous,Form and Meaning
247,baker,noun,3,Ambiguous,Form and Meaning
247,baker,noun,3,Ambiguous,Form and Meaning
345,ball,noun,1,Unambiguous,
381,base,noun,5,Ambiguous,Form and Meaning
381,base,noun,5,Ambiguous,Form and Meaning
381,base,noun,5,Ambiguous,Form and Meaning
381,base,noun,5,Ambiguous,Form and Meaning
381,base,noun,5,Ambiguous,Form and Meaning
17,bath,noun,1,Unambiguous,
276,beach,noun,2,Ambiguous,Form
276,beach,noun,2,Ambiguous,Form
182,beauty,noun,2,Ambiguous,Meaning
182,beauty,noun,2,Ambiguous,Meaning
338,bee,noun,2,Ambiguous,Form
338,bee,noun,2,Ambiguous,Form
329,belt,noun,3,Ambiguous,Form and Meaning
329,belt,noun,3,Ambiguous,Form and Meaning
329,belt,noun,3,Ambiguous,Form and Meaning
86,bench,noun,1,Unambiguous,
344,betrayal,noun,1,Unambiguous,
187,bible,noun,1,Unambiguous,
382,bid,noun / verb,3,Ambiguous,Form and Meaning
382,bid,verb,3,Ambiguous,Form and Meaning
382,bid,noun / verb,3,Ambiguous,Form and Meaning
162,bike,noun,1,Unambiguous,
543,bird,noun,1,Unambiguous,
391,birthday,noun,2,Ambiguous,Meaning
391,birthday,noun,2,Ambiguous,Meaning
1,blame,verb,4,Ambiguous,Form and Meaning
1,blame,verb,4,Ambiguous,Form and Meaning
1,blame,noun / verb,4,Ambiguous,Form and Meaning
1,blame,verb,4,Ambiguous,Form and Meaning
261,blanket,noun,1,Unambiguous,
80,blind,adjective,8,Ambiguous,Form and Meaning
80,blind,adjective,8,Ambiguous,Form and Meaning
80,blind,noun,8,Ambiguous,Form and Meaning
80,blind,adjective,8,Ambiguous,Form and Meaning
80,blind,adjective,8,Ambiguous,Form and Meaning
80,blind,adjective,8,Ambiguous,Form and Meaning
80,blind,adjective,8,Ambiguous,Form and Meaning
80,blind,noun,8,Ambiguous,Form and Meaning
230,block,verb,5,Ambiguous,Form and Meaning
230,block,verb,5,Ambiguous,Form and Meaning
230,block,noun,5,Ambiguous,Form and Meaning
230,block,noun,5,Ambiguous,Form and Meaning
230,block,noun / verb,5,Ambiguous,Form and Meaning
82,boat,noun,3,Ambiguous,Form
82,boat,noun,3,Ambiguous,Form
82,boat,noun,3,Ambiguous,Form
473,body,noun,2,Ambiguous,Form
473,body,noun,2,Ambiguous,Form
474,bold,adjective,7,Ambiguous,Form and Meaning
474,bold,adjective,7,Ambiguous,Form and Meaning
474,bold,adjective,7,Ambiguous,Form and Meaning
474,bold,adjective,7,Ambiguous,Form and Meaning
474,bold,adjective,7,Ambiguous,Form and Meaning
474,bold,adjective,7,Ambiguous,Form and Meaning
474,bold,adjective,7,Ambiguous,Form and Meaning
462,bone,noun,2,Ambiguous,Form
462,bone,noun,2,Ambiguous,Form
37,book,noun,2,Ambiguous,Form
37,book,noun,2,Ambiguous,Form
16,boot,noun,2,Ambiguous,Form
16,boot,noun,2,Ambiguous,Form
159,bosom,noun,1,Unambiguous,
273,bottle,noun,2,Ambiguous,Form
273,bottle,noun,2,Ambiguous,Form
385,box,noun,3,Ambiguous,Form
385,box,noun,3,Ambiguous,Form
385,box,noun,3,Ambiguous,Form
496,boy,noun,1,Unambiguous,
220,bread,noun,1,Unambiguous,
254,bride,noun,1,Unambiguous,
561,brother,noun,2,Ambiguous,Meaning
561,brother,noun,2,Ambiguous,Meaning
479,brow,noun,2,Ambiguous,Form
479,brow,noun,2,Ambiguous,Form
228,bull,noun,1,Unambiguous,
171,bullet,noun,1,Unambiguous,
562,butcher,noun,2,Ambiguous,Form
562,butcher,noun,2,Ambiguous,Form
75,butterfly,noun,2,Ambiguous,Form
75,butterfly,noun,2,Ambiguous,Form
123,cab,noun,2,Ambiguous,Form
123,cab,noun,2,Ambiguous,Form
409,cage,noun,2,Ambiguous,Form
409,cage,noun,2,Ambiguous,Form
272,calf,noun,2,Ambiguous,Meaning
272,calf,noun,2,Ambiguous,Meaning
158,candle,noun,2,Ambiguous,Form
158,candle,noun,2,Ambiguous,Form
188,captain,noun,2,Ambiguous,Meaning
188,captain,noun,2,Ambiguous,Meaning
3,car,noun,4,Ambiguous,Form
3,car,noun,4,Ambiguous,Form
3,car,noun,4,Ambiguous,Form
3,car,noun,4,Ambiguous,Form
157,care,verb,2,Ambiguous,Meaning
157,care,noun,2,Ambiguous,Meaning
117,carrot,noun,1,Unambiguous,
463,case,noun,6,Ambiguous,Form and Meaning
463,case,noun,6,Ambiguous,Form and Meaning
463,case,noun,6,Ambiguous,Form and Meaning
463,case,noun,6,Ambiguous,Form and Meaning
463,case,noun,6,Ambiguous,Form and Meaning
463,case,noun,6,Ambiguous,Form and Meaning
326,cat,noun,1,Unambiguous,
336,cause,verb,4,Ambiguous,Form and Meaning
336,cause,noun,4,Ambiguous,Form and Meaning
336,cause,verb,4,Ambiguous,Form and Meaning
336,cause,noun,4,Ambiguous,Form and Meaning
127,cave,noun,3,Ambiguous,Form
127,cave,noun,3,Ambiguous,Form
127,cave,noun,3,Ambiguous,Form
208,ceiling,noun,3,Ambiguous,Form and Meaning
208,ceiling,noun,3,Ambiguous,Form and Meaning
208,ceiling,noun,3,Ambiguous,Form and Meaning
196,century,noun,1,Unambiguous,
233,certainty,noun,3,Ambiguous,Form
233,certainty,noun,3,Ambiguous,Form
233,certainty,noun,3,Ambiguous,Form
267,chain,noun,2,Ambiguous,Form
267,chain,noun,2,Ambiguous,Form
8,chair,noun,1,Unambiguous,
524,chance,noun,1,Unambiguous,
549,change,noun / verb,4,Ambiguous,Form and Meaning
549,change,verb,4,Ambiguous,Form and Meaning
549,change,noun / verb,4,Ambiguous,Form and Meaning
549,change,verb,4,Ambiguous,Form and Meaning
44,cheek,noun,3,Ambiguous,Form
44,cheek,noun,3,Ambiguous,Form
44,cheek,noun,3,Ambiguous,Form
401,chest,noun,4,Ambiguous,Form
401,chest,noun,4,Ambiguous,Form
401,chest,noun,4,Ambiguous,Form
401,chest,noun,4,Ambiguous,Form
138,chin,noun,1,Unambiguous,
71,choice,noun,1,Unambiguous,
56,circle,noun / verb,4,Ambiguous,Form and Meaning
56,circle,noun,4,Ambiguous,Form and Meaning
56,circle,noun,4,Ambiguous,Form and Meaning
56,circle,noun,4,Ambiguous,Form and Meaning
186,climate,noun,3,Ambiguous,Form and Meaning
186,climate,noun,3,Ambiguous,Form and Meaning
186,climate,noun,3,Ambiguous,Form and Meaning
215,cloak,verb,3,Ambiguous,Form and Meaning
215,cloak,noun,3,Ambiguous,Form and Meaning
215,cloak,noun,3,Ambiguous,Form and Meaning
378,clock,noun,3,Ambiguous,Form
378,clock,noun,3,Ambiguous,Form
378,clock,noun,3,Ambiguous,Form
278,cloud,noun,1,Unambiguous,
346,coat,noun,2,Ambiguous,Form
346,coat,noun,2,Ambiguous,Form
219,coffee,noun,1,Unambiguous,
331,coin,noun,2,Ambiguous,Meaning
331,coin,noun,2,Ambiguous,Meaning
48,colour,noun,2,Ambiguous,Form
48,colour,noun,2,Ambiguous,Form
78,complaint,noun,1,Unambiguous,
516,confession,noun,5,Ambiguous,Form and Meaning
516,confession,noun,5,Ambiguous,Form and Meaning
516,confession,noun,5,Ambiguous,Form and Meaning
516,confession,noun,5,Ambiguous,Form and Meaning
516,confession,noun,5,Ambiguous,Form and Meaning
84,conscience,noun,2,Ambiguous,Form
84,conscience,noun,2,Ambiguous,Form
183,contents,noun,3,Ambiguous,Meaning
183,contents,noun,3,Ambiguous,Meaning
183,contents,noun,3,Ambiguous,Meaning
282,corn,noun,1,Unambiguous,
306,cotton,noun,2,Ambiguous,Form
306,cotton,noun,2,Ambiguous,Form
164,country,noun,2,Ambiguous,Form
164,country,noun,2,Ambiguous,Form
92,cow,noun,2,Ambiguous,Form
92,cow,noun,2,Ambiguous,Form
410,coward,noun,3,Ambiguous,Form
410,coward,noun,3,Ambiguous,Form
410,coward,noun,3,Ambiguous,Form
14,creation,noun,3,Ambiguous,Form and Meaning
14,creation,noun,3,Ambiguous,Form and Meaning
14,creation,noun,3,Ambiguous,Form and Meaning
88,crime,noun,3,Ambiguous,Form
88,crime,noun,3,Ambiguous,Form
88,crime,noun,3,Ambiguous,Form
222,criticism,noun,3,Ambiguous,Meaning
222,criticism,noun,3,Ambiguous,Meaning
222,criticism,noun,3,Ambiguous,Meaning
249,crowd,noun,2,Ambiguous,Meaning
249,crowd,noun,2,Ambiguous,Meaning
469,crown,noun,2,Ambiguous,Form
469,crown,noun,2,Ambiguous,Form
453,crude,adjective,3,Ambiguous,Form and Meaning
453,crude,adjective,3,Ambiguous,Form and Meaning
453,crude,adjective,3,Ambiguous,Form and Meaning
19,cruel,adjective,6,Ambiguous,Form and Meaning
19,cruel,adjective,6,Ambiguous,Form and Meaning
19,cruel,adjective,6,Ambiguous,Form and Meaning
19,cruel,adjective,6,Ambiguous,Form and Meaning
19,cruel,adjective,6,Ambiguous,Form and Meaning
19,cruel,adjective,6,Ambiguous,Form and Meaning
304,cruelty,noun,2,Ambiguous,Form
304,cruelty,noun,2,Ambiguous,Form
511,culture,noun,1,Unambiguous,
525,current,adjective,3,Ambiguous,Form and Meaning
525,current,noun,3,Ambiguous,Form and Meaning
525,current,adjective,3,Ambiguous,Form and Meaning
323,curse,verb,4,Ambiguous,Form and Meaning
323,curse,noun / verb,4,Ambiguous,Form and Meaning
323,curse,noun,4,Ambiguous,Form and Meaning
323,curse,verb,4,Ambiguous,Form and Meaning
21,cycle,noun,6,Ambiguous,Form and Meaning
21,cycle,noun,6,Ambiguous,Form and Meaning
21,cycle,noun,6,Ambiguous,Form and Meaning
21,cycle,noun,6,Ambiguous,Form and Meaning
21,cycle,noun,6,Ambiguous,Form and Meaning
21,cycle,noun,6,Ambiguous,Form and Meaning
442,dance,noun / verb,3,Ambiguous,Form and Meaning
442,dance,noun / verb,3,Ambiguous,Form and Meaning
442,dance,noun,3,Ambiguous,Form and Meaning
130,danger,noun,1,Unambiguous,
521,date,noun,2,Ambiguous,Meaning
521,date,noun,2,Ambiguous,Meaning
213,daughter,noun,1,Unambiguous,
400,dawn,noun,3,Ambiguous,Form and Meaning
400,dawn,noun,3,Ambiguous,Form and Meaning
400,dawn,noun,3,Ambiguous,Form and Meaning
234,day,noun,5,Ambiguous,Form and Meaning
234,day,noun,5,Ambiguous,Form and Meaning
234,day,noun,5,Ambiguous,Form and Meaning
234,day,noun,5,Ambiguous,Form and Meaning
234,day,noun,5,Ambiguous,Form and Meaning
253,decision,noun,1,Unambiguous,
398,deed,noun,2,Ambiguous,Meaning
398,deed,noun,2,Ambiguous,Meaning
243,defeat,noun,4,Ambiguous,Form and Meaning
243,defeat,verb,4,Ambiguous,Form and Meaning
243,defeat,noun / verb,4,Ambiguous,Form and Meaning
243,defeat,noun,4,Ambiguous,Form and Meaning
105,delay,noun / verb,4,Ambiguous,Form and Meaning
105,delay,intransitive verb,4,Ambiguous,Form and Meaning
105,delay,noun,4,Ambiguous,Form and Meaning
105,delay,noun / verb,4,Ambiguous,Form and Meaning
245,demand,verb,3,Ambiguous,Meaning
245,demand,noun,3,Ambiguous,Meaning
245,demand,noun / verb,3,Ambiguous,Meaning
520,descent,noun,2,Ambiguous,Meaning
520,descent,noun,2,Ambiguous,Meaning
481,description,noun,1,Unambiguous,
143,desk,noun,3,Ambiguous,Form
143,desk,noun,3,Ambiguous,Form
143,desk,noun,3,Ambiguous,Form
519,despair,noun,2,Ambiguous,Meaning
519,despair,noun / verb,2,Ambiguous,Meaning
448,difference,noun,2,Ambiguous,Form
448,difference,noun,2,Ambiguous,Form
297,direction,noun,1,Unambiguous,
303,dirt,noun,4,Ambiguous,Form and Meaning
303,dirt,noun,4,Ambiguous,Form and Meaning
303,dirt,noun,4,Ambiguous,Form and Meaning
303,dirt,noun,4,Ambiguous,Form and Meaning
89,disadvantage,noun,4,Ambiguous,Form and Meaning
89,disadvantage,verb,4,Ambiguous,Form and Meaning
89,disadvantage,noun,4,Ambiguous,Form and Meaning
89,disadvantage,noun,4,Ambiguous,Form and Meaning
547,discovery,noun,1,Unambiguous,
255,dislike,noun / verb,2,Ambiguous,Form
255,dislike,noun / verb,2,Ambiguous,Form
392,distance,noun,1,Unambiguous,
25,doctor,noun,1,Unambiguous,
364,dog,noun,1,Unambiguous,
87,doll,noun,4,Ambiguous,Form
87,doll,noun,4,Ambiguous,Form
87,doll,noun,4,Ambiguous,Form
87,doll,noun,4,Ambiguous,Form
24,domain,noun,2,Ambiguous,Form
24,domain,noun,2,Ambiguous,Form
216,dove,noun,2,Ambiguous,Form
216,dove,noun,2,Ambiguous,Form
322,dress,verb,3,Ambiguous,Meaning
322,dress,noun,3,Ambiguous,Meaning
322,dress,noun,3,Ambiguous,Meaning
350,duck,noun,2,Ambiguous,Form
350,duck,noun,2,Ambiguous,Form
320,duke,noun,1,Unambiguous,
419,dull,adjective,10,Ambiguous,Form and Meaning
419,dull,adjective,10,Ambiguous,Form and Meaning
419,dull,adjective,10,Ambiguous,Form and Meaning
419,dull,adjective,10,Ambiguous,Form and Meaning
419,dull,adjective,10,Ambiguous,Form and Meaning
419,dull,adjective,10,Ambiguous,Form and Meaning
419,dull,adjective,10,Ambiguous,Form and Meaning
419,dull,adjective,10,Ambiguous,Form and Meaning
419,dull,adjective,10,Ambiguous,Form and Meaning
419,dull,adjective,10,Ambiguous,Form and Meaning
450,dust,noun,6,Ambiguous,Form and Meaning
450,dust,noun,6,Ambiguous,Form and Meaning
450,dust,noun,6,Ambiguous,Form and Meaning
450,dust,noun,6,Ambiguous,Form and Meaning
450,dust,noun,6,Ambiguous,Form and Meaning
450,dust,noun,6,Ambiguous,Form and Meaning
476,duty,noun,5,Ambiguous,Form and Meaning
476,duty,noun,5,Ambiguous,Form and Meaning
476,duty,noun,5,Ambiguous,Form and Meaning
476,duty,noun,5,Ambiguous,Form and Meaning
476,duty,noun,5,Ambiguous,Form and Meaning
180,eagle,noun,2,Ambiguous,Meaning
180,eagle,noun,2,Ambiguous,Meaning
313,ear,noun,2,Ambiguous,Form
313,ear,noun,2,Ambiguous,Form
349,earth,noun,1,Unambiguous,
552,ease,verb,5,Ambiguous,Form and Meaning
552,ease,verb,5,Ambiguous,Form and Meaning
552,ease,verb,5,Ambiguous,Form and Meaning
552,ease,verb,5,Ambiguous,Form and Meaning
552,ease,noun,5,Ambiguous,Form and Meaning
404,education,noun,2,Ambiguous,Meaning
404,education,noun,2,Ambiguous,Meaning
18,elbow,noun,3,Ambiguous,Form
18,elbow,noun,3,Ambiguous,Form
18,elbow,noun,3,Ambiguous,Form
221,end,noun / verb,5,Ambiguous,Form and Meaning
221,end,noun,5,Ambiguous,Form and Meaning
221,end,noun,5,Ambiguous,Form and Meaning
221,end,verb,5,Ambiguous,Form and Meaning
221,end,noun,5,Ambiguous,Form and Meaning
28,enemy,noun,1,Unambiguous,
422,entry,noun,5,Ambiguous,Form and Meaning
422,entry,noun,5,Ambiguous,Form and Meaning
422,entry,noun,5,Ambiguous,Form and Meaning
422,entry,noun,5,Ambiguous,Form and Meaning
422,entry,noun,5,Ambiguous,Form and Meaning
156,estimation,noun,4,Ambiguous,Meaning
156,estimation,noun,4,Ambiguous,Meaning
156,estimation,noun,4,Ambiguous,Meaning
156,estimation,noun,4,Ambiguous,Meaning
199,event,noun,1,Unambiguous,
54,example,noun,1,Unambiguous,
119,exchange,noun,2,Ambiguous,Meaning
119,exchange,noun / verb,2,Ambiguous,Meaning
470,experience,noun / verb,2,Ambiguous,Meaning
470,experience,noun,2,Ambiguous,Meaning
551,eye,noun,2,Ambiguous,Form
551,eye,noun,2,Ambiguous,Form
302,face,noun,1,Unambiguous,
169,failure,noun,1,Unambiguous,
508,fair,adjective,3,Ambiguous,Form
508,fair,adjective,3,Ambiguous,Form
508,fair,adjective,3,Ambiguous,Form
459,faith,noun,5,Ambiguous,Form and Meaning
459,faith,noun,5,Ambiguous,Form and Meaning
459,faith,noun,5,Ambiguous,Form and Meaning
459,faith,noun,5,Ambiguous,Form and Meaning
459,faith,noun,5,Ambiguous,Form and Meaning
396,fame,noun,2,Ambiguous,Form
396,fame,noun,2,Ambiguous,Form
227,farm,noun,1,Unambiguous,
455,farmer,noun,2,Ambiguous,Form
455,farmer,noun,2,Ambiguous,Form
106,fashion,noun,1,Unambiguous,
129,fate,noun,2,Ambiguous,Form
129,fate,noun,2,Ambiguous,Form
387,father,noun,3,Ambiguous,Form
387,father,noun,3,Ambiguous,Form
387,father,noun,3,Ambiguous,Form
403,favour,noun,2,Ambiguous,Meaning
403,favour,noun,2,Ambiguous,Meaning
339,feeling,noun,3,Ambiguous,Meaning
339,feeling,noun,3,Ambiguous,Meaning
339,feeling,noun,3,Ambiguous,Meaning
374,fever,noun,1,Unambiguous,
482,field,noun,4,Ambiguous,Form and Meaning
482,field,noun,4,Ambiguous,Form and Meaning
482,field,noun,4,Ambiguous,Form and Meaning
482,field,noun,4,Ambiguous,Form and Meaning
296,figure,noun,4,Ambiguous,Form and Meaning
296,figure,noun,4,Ambiguous,Form and Meaning
296,figure,noun,4,Ambiguous,Form and Meaning
296,figure,noun,4,Ambiguous,Form and Meaning
58,finger,noun,1,Unambiguous,
425,fire,noun,1,Unambiguous,
231,fist,noun,1,Unambiguous,
411,flame,noun,1,Unambiguous,
347,flaw,noun,5,Ambiguous,Form and Meaning
347,flaw,noun,5,Ambiguous,Form and Meaning
347,flaw,noun,5,Ambiguous,Form and Meaning
347,flaw,noun,5,Ambiguous,Form and Meaning
347,flaw,noun,5,Ambiguous,Form and Meaning
451,flea,noun,1,Unambiguous,
454,flood,noun,1,Unambiguous,
509,flower,noun,2,Ambiguous,Form
509,flower,noun,2,Ambiguous,Form
136,flu,noun,1,Unambiguous,
324,fly,noun,3,Ambiguous,Meaning
324,fly,verb,3,Ambiguous,Meaning
324,fly,verb,3,Ambiguous,Meaning
60,fog,noun,1,Unambiguous,
446,foot,noun,2,Ambiguous,Meaning
446,foot,noun,2,Ambiguous,Meaning
39,forest,noun,1,Unambiguous,
405,form,noun,7,Ambiguous,Form and Meaning
405,form,noun,7,Ambiguous,Form and Meaning
405,form,noun,7,Ambiguous,Form and Meaning
405,form,verb,7,Ambiguous,Form and Meaning
405,form,noun,7,Ambiguous,Form and Meaning
405,form,noun,7,Ambiguous,Form and Meaning
405,form,verb,7,Ambiguous,Form and Meaning
500,fox,noun,2,Ambiguous,Form
500,fox,noun,2,Ambiguous,Form
36,friend,noun,1,Unambiguous,
51,frog,noun,2,Ambiguous,Form
51,frog,noun,2,Ambiguous,Form
394,fruit,noun,1,Unambiguous,
499,funeral,noun,2,Ambiguous,Form
499,funeral,noun,2,Ambiguous,Form
539,funny,adjective,7,Ambiguous,Form
539,funny,adjective,7,Ambiguous,Form
539,funny,adjective,7,Ambiguous,Form
539,funny,adjective,7,Ambiguous,Form
539,funny,adjective,7,Ambiguous,Form
539,funny,adjective,7,Ambiguous,Form
539,funny,adjective,7,Ambiguous,Form
128,fur,noun,3,Ambiguous,Form and Meaning
128,fur,noun,3,Ambiguous,Form and Meaning
128,fur,noun,3,Ambiguous,Form and Meaning
50,future,noun,2,Ambiguous,Meaning
50,future,adjective,2,Ambiguous,Meaning
152,gap,noun,5,Ambiguous,Form and Meaning
152,gap,noun,5,Ambiguous,Form and Meaning
152,gap,noun,5,Ambiguous,Form and Meaning
152,gap,noun,5,Ambiguous,Form and Meaning
152,gap,noun,5,Ambiguous,Form and Meaning
301,garden,noun,2,Ambiguous,Form
301,garden,noun,2,Ambiguous,Form
250,garlic,noun,2,Ambiguous,Form
250,garlic,noun,2,Ambiguous,Form
377,gas,noun,4,Ambiguous,Form and Meaning
377,gas,noun,4,Ambiguous,Form and Meaning
377,gas,noun,4,Ambiguous,Form and Meaning
377,gas,noun,4,Ambiguous,Form and Meaning
170,gentleman,noun,1,Unambiguous,
356,giant,adjective,3,Ambiguous,Form and Meaning
356,giant,adjective,3,Ambiguous,Form and Meaning
356,giant,noun,3,Ambiguous,Form and Meaning
193,gift,noun,2,Ambiguous,Meaning
193,gift,noun,2,Ambiguous,Meaning
246,girl,noun,1,Unambiguous,
270,glove,noun,1,Unambiguous,
67,gold,noun,5,Ambiguous,Form and Meaning
67,gold,noun,5,Ambiguous,Form and Meaning
67,gold,adjective,5,Ambiguous,Form and Meaning
67,gold,noun,5,Ambiguous,Form and Meaning
67,gold,noun,5,Ambiguous,Form and Meaning
12,grape,noun,1,Unambiguous,
429,grief,noun,1,Unambiguous,
444,ground,noun,3,Ambiguous,Meaning
444,ground,noun,3,Ambiguous,Meaning
444,ground,noun,3,Ambiguous,Meaning
553,grudge,noun,1,Unambiguous,
461,guilt,noun,2,Ambiguous,Form
461,guilt,noun,2,Ambiguous,Form
423,guitar,noun,1,Unambiguous,
328,gun,noun,1,Unambiguous,
83,hair,noun,1,Unambiguous,
515,hand,noun,1,Unambiguous,
132,hat,noun,1,Unambiguous,
486,head,noun,1,Unambiguous,
269,health,noun,1,Unambiguous,
30,heart,noun,2,Ambiguous,Form
30,heart,noun,2,Ambiguous,Form
236,heat,verb,2,Ambiguous,Meaning
236,heat,noun,2,Ambiguous,Meaning
335,height,noun,3,Ambiguous,Form and Meaning
335,height,noun,3,Ambiguous,Form and Meaning
335,height,noun,3,Ambiguous,Form and Meaning
317,hell,noun,1,Unambiguous,
251,herb,noun,2,Ambiguous,Form
251,herb,noun,2,Ambiguous,Form
27,hero,noun,1,Unambiguous,
518,holy,adjective,5,Ambiguous,Form and Meaning
518,holy,adjective,5,Ambiguous,Form and Meaning
518,holy,adjective,5,Ambiguous,Form and Meaning
518,holy,adjective,5,Ambiguous,Form and Meaning
518,holy,adjective,5,Ambiguous,Form and Meaning
99,honesty,noun,1,Unambiguous,
504,honey,noun,6,Ambiguous,Form and Meaning
504,honey,noun,6,Ambiguous,Form and Meaning
504,honey,noun,6,Ambiguous,Form and Meaning
504,honey,noun,6,Ambiguous,Form and Meaning
504,honey,noun,6,Ambiguous,Form and Meaning
504,honey,noun,6,Ambiguous,Form and Meaning
167,horse,noun,1,Unambiguous,
408,hospital,noun,1,Unambiguous,
487,house,noun,2,Ambiguous,Form
487,house,noun,2,Ambiguous,Form
514,huge,adjective,3,Ambiguous,Form
514,huge,adjective,3,Ambiguous,Form
514,huge,adjective,3,Ambiguous,Form
165,impression,noun,1,Unambiguous,
76,influence,noun / verb,1,Unambiguous,
488,information,noun,2,Ambiguous,Form
488,information,noun,2,Ambiguous,Form
559,inhabitant,noun,1,Unambiguous,
121,inheritance,noun,3,Ambiguous,Meaning
121,inheritance,noun,3,Ambiguous,Meaning
121,inheritance,verb,3,Ambiguous,Meaning
184,ink,noun,3,Ambiguous,Form and Meaning
184,ink,noun,3,Ambiguous,Form and Meaning
184,ink,noun,3,Ambiguous,Form and Meaning
207,innocence,noun,2,Ambiguous,Meaning
207,innocence,noun,2,Ambiguous,Meaning
300,insect,noun,3,Ambiguous,Form
300,insect,noun,3,Ambiguous,Form
300,insect,noun,3,Ambiguous,Form
281,insight,noun,2,Ambiguous,Meaning
281,insight,noun,2,Ambiguous,Meaning
102,interest,noun,2,Ambiguous,Meaning
102,interest,noun,2,Ambiguous,Meaning
189,iron,noun,2,Ambiguous,Meaning
189,iron,adjective,2,Ambiguous,Meaning
371,jail,noun,2,Ambiguous,Form
371,jail,noun,2,Ambiguous,Form
198,jar,noun,5,Ambiguous,Form and Meaning
198,jar,noun,5,Ambiguous,Form and Meaning
198,jar,noun,5,Ambiguous,Form and Meaning
198,jar,noun,5,Ambiguous,Form and Meaning
198,jar,noun,5,Ambiguous,Form and Meaning
209,jaw,noun,2,Ambiguous,Form
209,jaw,noun,2,Ambiguous,Form
108,joke,noun,2,Ambiguous,Meaning
108,joke,noun,2,Ambiguous,Meaning
181,joy,noun,7,Ambiguous,Form and Meaning
181,joy,noun,7,Ambiguous,Form and Meaning
181,joy,noun,7,Ambiguous,Form and Meaning
181,joy,noun,7,Ambiguous,Form and Meaning
181,joy,noun,7,Ambiguous,Form and Meaning
181,joy,noun,7,Ambiguous,Form and Meaning
181,joy,noun,7,Ambiguous,Form and Meaning
330,juice,noun,2,Ambiguous,Meaning
330,juice,noun,2,Ambiguous,Meaning
380,king,noun,3,Ambiguous,Form and Meaning
380,king,noun,3,Ambiguous,Form and Meaning
380,king,noun,3,Ambiguous,Form and Meaning
100,kitchen,noun,2,Ambiguous,Meaning
100,kitchen,adjective,2,Ambiguous,Meaning
295,knife,noun,3,Ambiguous,Form and Meaning
295,knife,noun,3,Ambiguous,Form and Meaning
295,knife,noun,3,Ambiguous,Form and Meaning
57,knight,noun,1,Unambiguous,
26,lady,noun,2,Ambiguous,Form
26,lady,noun,2,Ambiguous,Form
212,lamb,noun,3,Ambiguous,Form and Meaning
212,lamb,noun,3,Ambiguous,Form and Meaning
212,lamb,noun,3,Ambiguous,Form and Meaning
309,language,noun,1,Unambiguous,
532,law,noun,3,Ambiguous,Meaning
532,law,noun,3,Ambiguous,Meaning
532,law,noun,3,Ambiguous,Meaning
264,lawn,noun,3,Ambiguous,Form
264,lawn,noun,3,Ambiguous,Form
264,lawn,noun,3,Ambiguous,Form
