ENGLISH_WORD,NUMBER_OF_TRANSLATIONS,AMBIGUITY,AMBIGUITY_SOURCE,AOA,CNC,FAM,CPOS,IMG,KFFRQ,NLET,NPHN,NSYL,LOG_KFREQ,logstl,logcheck,roundq,roundr,
ATTEMPT,4,Ambiguous,Both,392,313,558,NV,302,95,7,6,2,1.977723605,2.99 ,2.99 ,2.99 ,2.99 ,
ATTENTION,2,Ambiguous,Form,,,,N,,179,9,7,3,2.252853031,3.70 ,3.70 ,3.70 ,3.70 ,
AUNT,5,Ambiguous,Both,233,564,554,N,567,22,4,3,1,1.342422681,3.45 ,3.45 ,3.45 ,3.45 ,
AUTHOR,1,Unambiguous,Unambiguous,414,502,554,N,460,46,6,3,2,1.662757832,2.61 ,2.61 ,2.61 ,2.61 ,
AUTUMN,3,Ambiguous,Form,278,421,533,N,622,22,6,4,2,1.342422681,2.29 ,2.29 ,2.29 ,2.29 ,
BAG,3,Ambiguous,Both,217,603,634,NV,570,42,3,3,1,1.62324929,3.68 ,3.68 ,3.68 ,3.68 ,
BAKER,3,Ambiguous,Both,,,,N,,36,5,4,2,1.556302501,2.84 ,2.84 ,2.84 ,2.84 ,
BALL,1,Unambiguous,Unambiguous,150,615,575,N,622,110,4,3,1,2.041392685,3.73 ,3.73 ,3.73 ,3.73 ,
BASE,5,Ambiguous,Both,369,441,520,JNV,436,91,4,3,1,1.959041392,3.26 ,3.26 ,3.26 ,3.26 ,
BATH,1,Unambiguous,Unambiguous,172,600,599,NV,601,26,4,3,1,1.414973348,3.20 ,3.20 ,3.20 ,3.20 ,
BEACH,2,Ambiguous,Form,,612,553,NV,667,61,5,4,1,1.785329835,3.46 ,3.46 ,3.46 ,3.46 ,
BEAUTY,2,Ambiguous,Meaning,344,336,561,N,513,71,6,5,2,1.851258349,3.39 ,3.39 ,3.39 ,3.39 ,
BEE,2,Ambiguous,Form,,597,554,N,623,11,3,2,1,1.041392685,2.72 ,2.72 ,2.72 ,2.72 ,
BELT,3,Ambiguous,Both,,602,550,N,494,29,4,4,1,1.462397998,3.09 ,3.09 ,3.09 ,3.09 ,
BENCH,1,Unambiguous,Unambiguous,311,614,488,N,555,35,5,5,1,1.544068044,2.69 ,2.69 ,2.69 ,2.69 ,
BETRAYAL,1,Unambiguous,Unambiguous,492,258,392,N,358,6,8,7,3,0.77815125,2.34 ,2.34 ,2.34 ,2.34 ,
BIBLE,1,Unambiguous,Unambiguous,,585,496,,594,59,5,,1,1.770852012,2.97 ,2.97 ,2.97 ,2.97 ,
BID,3,Ambiguous,Both,425,364,473,NV,394,22,3,3,1,1.342422681,2.81 ,2.81 ,2.81 ,2.81 ,
BIKE,1,Unambiguous,Unambiguous,,,,NV,,,4,3,1,#NUM!,3.12 ,3.12 ,3.12 ,3.12 ,
BIRD,1,Unambiguous,Unambiguous,206,602,592,N,614,31,4,3,1,1.491361694,3.37 ,3.37 ,3.37 ,3.37 ,
BIRTHDAY,2,Ambiguous,Meaning,,,,N,,18,8,5,2,1.255272505,3.70 ,3.70 ,3.70 ,3.70 ,
BLAME,4,Ambiguous,Both,328,293,541,NV,356,34,5,4,1,1.531478917,3.48 ,3.48 ,3.48 ,3.48 ,
BLANKET,1,Unambiguous,Unambiguous,211,622,563,N,582,30,7,7,2,1.477121255,2.82 ,2.82 ,2.82 ,2.82 ,
BLIND,8,Ambiguous,Both,,443,531,JNV,485,47,5,5,1,1.672097858,3.37 ,3.37 ,3.37 ,3.37 ,
BLOCK,5,Ambiguous,Both,244,558,544,NV,483,66,5,4,1,1.819543936,3.32 ,3.32 ,3.32 ,3.32 ,
BOAT,3,Ambiguous,Form,,637,584,N,631,72,4,3,1,1.857332496,3.69 ,3.69 ,3.69 ,3.69 ,
BODY,2,Ambiguous,Form,267,568,610,N,614,276,4,4,2,2.440909082,4.00 ,4.00 ,4.00 ,4.00 ,
BOLD,7,Ambiguous,Both,,,,J,,21,4,4,1,1.322219295,2.59 ,2.59 ,2.59 ,2.59 ,
BONE,2,Ambiguous,Form,,588,541,NV,567,33,4,3,1,1.51851394,3.12 ,3.12 ,3.12 ,3.12 ,
BOOK,2,Ambiguous,Form,214,609,643,NV,591,193,4,3,1,2.285557309,3.96 ,3.96 ,3.96 ,3.96 ,
BOOT,2,Ambiguous,Form,251,595,566,NV,604,13,4,3,1,1.113943352,2.76 ,2.76 ,2.76 ,2.76 ,
BOSOM,1,Unambiguous,Unambiguous,489,552,425,N,593,8,5,5,2,0.903089987,2.20 ,2.20 ,2.20 ,2.20 ,
BOTTLE,2,Ambiguous,Form,,591,591,NV,619,76,6,4,2,1.880813592,3.41 ,3.41 ,3.41 ,3.41 ,
BOWEL,0,None,None,,,,,,,5,,2,#NUM!,2.26 ,2.26 ,2.26 ,2.26 ,
BOX,3,Ambiguous,Form,192,597,599,NV,591,70,3,4,1,1.84509804,3.66 ,3.66 ,3.66 ,3.66 ,
BOY,1,Unambiguous,Unambiguous,,609,606,N,618,242,3,2,1,2.383815366,4.43 ,4.43 ,4.43 ,4.43 ,
BREAD,1,Unambiguous,Unambiguous,,622,611,N,619,41,5,4,1,1.612783857,3.16 ,3.16 ,3.16 ,3.16 ,
BRIDE,1,Unambiguous,Unambiguous,,,,N,,33,5,4,1,1.51851394,3.09 ,3.09 ,3.09 ,3.09 ,
BROTHER,2,Ambiguous,Meaning,219,585,598,N,589,73,7,5,2,1.86332286,4.16 ,4.16 ,4.16 ,4.16 ,
BROW,2,Ambiguous,Form,,,,N,,6,4,3,1,0.77815125,1.98 ,1.98 ,1.98 ,1.98 ,
BULL,1,Unambiguous,Unambiguous,,,,NV,,14,4,3,1,1.146128036,3.15 ,3.15 ,3.15 ,3.15 ,
BULLET,1,Unambiguous,Unambiguous,,595,517,N,611,28,6,5,2,1.447158031,3.29 ,3.29 ,3.29 ,3.29 ,
BUTCHER,2,Ambiguous,Form,,556,473,N,596,8,7,5,2,0.903089987,2.64 ,2.64 ,2.64 ,2.64 ,
BUTTERFLY,2,Ambiguous,Form,,593,481,N,624,2,9,7,3,0.301029996,2.45 ,2.45 ,2.45 ,2.45 ,
CAB,2,Ambiguous,Form,,,,N,,12,3,3,1,1.079181246,3.26 ,3.26 ,3.26 ,3.26 ,
CAGE,2,Ambiguous,Form,300,593,487,NV,585,9,4,3,1,0.954242509,3.01 ,3.01 ,3.01 ,3.01 ,
CALF,2,Ambiguous,Meaning,,592,511,N,565,11,4,3,1,1.041392685,2.18 ,2.18 ,2.18 ,2.18 ,
CANDLE,2,Ambiguous,Form,,565,544,N,594,18,6,5,2,1.255272505,2.61 ,2.61 ,2.61 ,2.61 ,
CAPTAIN,2,Ambiguous,Meaning,,534,498,N,497,85,7,6,2,1.929418926,4.03 ,4.03 ,4.03 ,4.03 ,
CAR,4,Ambiguous,Form,197,622,634,N,638,274,3,2,1,2.437750563,4.39 ,4.39 ,4.39 ,4.39 ,
CARE,2,Ambiguous,Meaning,,342,563,NV,383,162,4,2,1,2.209515015,4.39 ,4.39 ,4.39 ,4.39 ,
CARROT,1,Unambiguous,Unambiguous,,622,539,N,577,1,6,5,2,0,2.29 ,2.29 ,2.29 ,2.29 ,
CASE,6,Ambiguous,Both,311,548,553,NV,517,362,4,3,1,2.558708571,4.16 ,4.16 ,4.16 ,4.16 ,
CAT,1,Unambiguous,Unambiguous,,615,582,N,617,23,3,3,1,1.361727836,3.53 ,3.53 ,3.53 ,3.53 ,
CAUSE,4,Ambiguous,Both,408,287,557,NV,282,130,5,3,1,2.113943352,4.20 ,4.20 ,4.20 ,4.20 ,
CAVE,3,Ambiguous,Form,,592,526,NVO,601,9,4,3,1,0.954242509,2.85 ,2.85 ,2.85 ,2.85 ,
CEILING,3,Ambiguous,Both,,606,531,N,557,31,7,5,2,1.491361694,2.63 ,2.63 ,2.63 ,2.63 ,
CENTURY,1,Unambiguous,Unambiguous,414,346,514,N,395,207,7,8,3,2.315970345,3.03 ,3.03 ,3.03 ,3.03 ,
CERTAINTY,3,Ambiguous,Form,,,,N,,21,9,6,3,1.322219295,2.19 ,2.19 ,2.19 ,2.19 ,
CHAIN,2,Ambiguous,Form,311,595,513,NV,559,50,5,4,1,1.698970004,3.03 ,3.03 ,3.03 ,3.03 ,
CHAIR,1,Unambiguous,Unambiguous,,606,617,NV,610,66,5,3,1,1.819543936,3.40 ,3.40 ,3.40 ,3.40 ,
CHANCE,1,Unambiguous,Unambiguous,,254,563,NV,354,131,6,5,1,2.117271296,4.09 ,4.09 ,4.09 ,4.09 ,
CHANGE,4,Ambiguous,Both,,,,NV,,240,6,5,1,2.380211242,4.09 ,4.09 ,4.09 ,4.09 ,
CHAP,0,None,None,,,,NV,,5,4,4,1,0.698970004,2.51 ,2.51 ,2.51 ,2.51 ,
CHEEK,3,Ambiguous,Form,267,565,533,N,561,20,5,4,1,1.301029996,2.56 ,2.56 ,2.56 ,2.56 ,
CHEST,4,Ambiguous,Form,,580,543,N,556,53,5,5,1,1.72427587,3.32 ,3.32 ,3.32 ,3.32 ,
CHIN,1,Unambiguous,Unambiguous,,592,545,N,608,27,4,4,1,1.431363764,2.81 ,2.81 ,2.81 ,2.81 ,
CHOICE,1,Unambiguous,Unambiguous,,,,JN,,113,6,4,1,2.053078443,3.70 ,3.70 ,3.70 ,3.70 ,
CIRCLE,4,Ambiguous,Both,214,515,581,NV,591,60,6,4,2,1.77815125,3.04 ,3.04 ,3.04 ,3.04 ,
CLIMATE,3,Ambiguous,Both,,,,N,,26,7,6,2,1.414973348,2.26 ,2.26 ,2.26 ,2.26 ,
CLOAK,3,Ambiguous,Both,,543,423,NV,518,3,5,4,1,0.477121255,2.19 ,2.19 ,2.19 ,2.19 ,
CLOCK,3,Ambiguous,Form,,591,608,N,614,20,5,4,1,1.301029996,3.48 ,3.48 ,3.48 ,3.48 ,
CLOUD,1,Unambiguous,Unambiguous,,554,553,NV,595,28,5,4,1,1.447158031,2.78 ,2.78 ,2.78 ,2.78 ,
COAT,2,Ambiguous,Form,197,601,610,NV,572,43,4,3,1,1.633468456,3.33 ,3.33 ,3.33 ,3.33 ,
COFFEE,1,Unambiguous,Unambiguous,292,613,625,N,618,78,6,4,2,1.892094603,3.87 ,3.87 ,3.87 ,3.87 ,
COIN,2,Ambiguous,Meaning,,581,564,N,603,10,4,3,1,1,2.70 ,2.70 ,2.70 ,2.70 ,
COLOUR,2,Ambiguous,Form,,,,NV,,,6,4,2,#NUM!,2.65 ,2.65 ,2.65 ,2.65 ,
COMPLAINT,1,Unambiguous,Unambiguous,,,,N,,14,9,8,2,1.146128036,2.72 ,2.72 ,2.72 ,2.72 ,
COMPULSION,0,None,None,,,,N,,8,10,9,3,0.903089987,,1.81 ,0.00 ,1.81 ,0
CONFESSION,5,Ambiguous,Both,,,,N,,17,10,8,3,1.230448921,2.93 ,2.93 ,2.93 ,2.93 ,
CONSCIENCE,2,Ambiguous,Form,503,255,536,N,386,40,10,7,2,1.602059991,2.85 ,2.85 ,2.85 ,2.85 ,
CONTENTS,3,Ambiguous,Meaning,,414,566,N,386,16,8,7,2,1.204119983,2.34 ,2.34 ,2.34 ,2.34 ,
CORN,1,Unambiguous,Unambiguous,,576,548,NV,601,34,4,3,1,1.531478917,2.86 ,2.86 ,2.86 ,2.86 ,
COTTON,2,Ambiguous,Form,306,608,521,NV,562,38,6,4,2,1.579783597,2.86 ,2.86 ,2.86 ,2.86 ,
COUNTRY,2,Ambiguous,Form,329,465,592,N,539,324,7,6,2,2.51054501,3.92 ,3.92 ,3.92 ,3.92 ,
COW,2,Ambiguous,Form,,621,529,NV,632,29,3,2,1,1.462397998,3.11 ,3.11 ,3.11 ,3.11 ,
COWARD,3,Ambiguous,Form,,,,,,8,6,,2,0.903089987,2.87 ,2.87 ,2.87 ,2.87 ,
CREATION,3,Ambiguous,Both,,,,N,,46,8,7,3,1.662757832,2.49 ,2.49 ,2.49 ,2.49 ,
CRIME,3,Ambiguous,Form,383,387,537,N,471,34,5,4,1,1.531478917,3.56 ,3.56 ,3.56 ,3.56 ,
CRITICISM,3,Ambiguous,Meaning,561,316,518,N,333,40,9,10,4,1.602059991,2.19 ,2.19 ,2.19 ,2.19 ,
CROOK,0,None,None,374,520,467,NV,526,3,5,4,1,0.477121255,2.46 ,2.46 ,2.46 ,2.46 ,
CROWD,2,Ambiguous,Meaning,,546,523,NV,548,53,5,4,1,1.72427587,3.28 ,3.28 ,3.28 ,3.28 ,
CROWN,2,Ambiguous,Form,,586,531,NV,602,19,5,4,1,1.278753601,2.84 ,2.84 ,2.84 ,2.84 ,
CRUDE,3,Ambiguous,Both,,,,J,,15,5,4,1,1.176091259,2.19 ,2.19 ,2.19 ,2.19 ,
CRUEL,6,Ambiguous,Both,,367,521,,422,15,5,,1,1.176091259,2.97 ,2.97 ,2.97 ,2.97 ,
CRUELTY,2,Ambiguous,Form,,,,N,,13,7,6,2,1.113943352,2.22 ,2.22 ,2.22 ,2.22 ,
CULTURE,1,Unambiguous,Unambiguous,,351,523,NV,339,58,7,6,2,1.763427994,2.85 ,2.85 ,2.85 ,2.85 ,
CURRENT,3,Ambiguous,Both,,,509,JN,497,104,7,6,2,2.017033339,2.94 ,2.94 ,2.94 ,2.94 ,
CURSE,4,Ambiguous,Both,450,363,484,NV,415,11,5,3,1,1.041392685,2.97 ,2.97 ,2.97 ,2.97 ,
CYCLE,6,Ambiguous,Both,,,,NV,,24,5,,2,1.380211242,2.48 ,2.48 ,2.48 ,2.48 ,
DAME,0,None,None,,528,472,N,530,7,4,3,1,0.84509804,2.85 ,2.85 ,2.85 ,2.85 ,
DANCE,3,Ambiguous,Both,,502,550,NV,510,90,5,4,1,1.954242509,3.88 ,3.88 ,3.88 ,3.88 ,
DANGER,1,Unambiguous,Unambiguous,300,338,557,N,505,70,6,5,2,1.84509804,3.35 ,3.35 ,3.35 ,3.35 ,
DATE,2,Ambiguous,Meaning,314,514,613,NV,501,103,4,3,1,2.012837225,3.86 ,3.86 ,3.86 ,3.86 ,
DAUGHTER,1,Unambiguous,Unambiguous,,,,N,,72,8,4,2,1.857332496,3.94 ,3.94 ,3.94 ,3.94 ,
DAWN,3,Ambiguous,Both,350,501,507,NV,586,28,4,3,1,1.447158031,3.11 ,3.11 ,3.11 ,3.11 ,
DAY,5,Ambiguous,Both,,477,595,N,526,686,3,2,1,2.836324116,4.61 ,4.61 ,4.61 ,4.61 ,
DECISION,1,Unambiguous,Unambiguous,437,297,601,N,340,119,8,7,3,2.075546961,3.45 ,3.45 ,3.45 ,3.45 ,
DEED,2,Ambiguous,Meaning,,410,475,N,390,8,4,3,1,0.903089987,2.68 ,2.68 ,2.68 ,2.68 ,
DEFEAT,4,Ambiguous,Both,,363,519,NV,402,31,6,5,2,1.491361694,2.76 ,2.76 ,2.76 ,2.76 ,
DELAY,4,Ambiguous,Both,,,,NV,,21,5,4,2,1.322219295,2.75 ,2.75 ,2.75 ,2.75 ,
DEMAND,3,Ambiguous,Meaning,,,,NV,,102,6,6,2,2.008600172,2.94 ,2.94 ,2.94 ,2.94 ,
DESCENT,2,Ambiguous,Meaning,,,,N,,11,7,6,2,1.041392685,2.12 ,2.12 ,2.12 ,2.12 ,
DESCRIPTION,1,Unambiguous,Unambiguous,469,341,556,N,326,54,11,10,3,1.73239376,2.81 ,2.81 ,2.81 ,2.81 ,
DESK,3,Ambiguous,Form,,583,583,N,574,65,4,4,1,1.812913357,3.35 ,3.35 ,3.35 ,3.35 ,
DESPAIR,2,Ambiguous,Meaning,458,279,484,NV,388,21,7,5,2,1.322219295,2.48 ,2.48 ,2.48 ,2.48 ,
DIFFERENCE,2,Ambiguous,Form,378,270,592,N,293,148,10,7,2,2.170261715,3.61 ,3.61 ,3.61 ,3.61 ,
DIRECTION,1,Unambiguous,Unambiguous,381,336,562,N,399,134,9,8,3,2.127104798,3.09 ,3.09 ,3.09 ,3.09 ,
DIRT,4,Ambiguous,Both,,564,571,N,547,43,4,3,1,1.633468456,3.12 ,3.12 ,3.12 ,3.12 ,
DISADVANTAGE,4,Ambiguous,Both,,,,N,,4,12,11,4,0.602059991,1.76 ,1.76 ,1.76 ,1.76 ,
DISCOVERY,1,Unambiguous,Unambiguous,414,332,513,N,401,45,9,9,4,1.653212514,2.77 ,2.77 ,2.77 ,2.77 ,
DISLIKE,2,Ambiguous,Form,,,,NV,,14,7,6,2,1.146128036,2.30 ,2.30 ,2.30 ,2.30 ,
DISTANCE,1,Unambiguous,Unambiguous,344,353,594,NV,432,108,8,7,2,2.033423755,3.12 ,3.12 ,3.12 ,3.12 ,
DOCTOR,1,Unambiguous,Unambiguous,,575,573,NV,600,100,6,5,2,2,4.13 ,4.13 ,4.13 ,4.13 ,
DOG,1,Unambiguous,Unambiguous,169,610,598,NV,636,75,3,3,1,1.875061263,3.99 ,3.99 ,3.99 ,3.99 ,
DOLL,4,Ambiguous,Form,161,588,503,N,565,10,4,3,1,1,3.10 ,3.10 ,3.10 ,3.10 ,
DOMAIN,2,Ambiguous,Form,,,,N,,9,6,5,2,0.954242509,2.12 ,2.12 ,2.12 ,2.12 ,
DOVE,2,Ambiguous,Form,,588,415,N,616,4,4,3,1,0.602059991,2.45 ,2.45 ,2.45 ,2.45 ,
DRESS,3,Ambiguous,Meaning,222,595,588,NV,595,67,5,4,1,1.826074803,3.65 ,3.65 ,3.65 ,3.65 ,
DUCK,2,Ambiguous,Form,164,606,529,NV,632,9,4,3,1,0.954242509,3.10 ,3.10 ,3.10 ,3.10 ,
DUKE,1,Unambiguous,Unambiguous,,508,457,N,480,11,4,4,1,1.041392685,3.11 ,3.11 ,3.11 ,3.11 ,
DULL,10,Ambiguous,Both,,,570,JV,373,27,4,3,1,1.431363764,2.79 ,2.79 ,2.79 ,2.79 ,
DUSK,0,None,None,425,455,474,JNV,575,9,4,4,1,0.954242509,,1.79 ,0.00 ,1.79 ,0
DUST,6,Ambiguous,Both,,550,558,N,549,70,4,4,1,1.84509804,3.09 ,3.09 ,3.09 ,3.09 ,
DUTY,5,Ambiguous,Both,,322,543,N,346,61,4,5,2,1.785329835,3.41 ,3.41 ,3.41 ,3.41 ,
EAGLE,2,Ambiguous,Meaning,,616,465,N,601,5,5,3,2,0.698970004,2.77 ,2.77 ,2.77 ,2.77 ,
EAR,2,Ambiguous,Form,,640,560,N,597,29,3,1,1,1.462397998,3.21 ,3.21 ,3.21 ,3.21 ,
EARTH,1,Unambiguous,Unambiguous,317,580,580,NV,580,150,5,2,1,2.176091259,3.71 ,3.71 ,3.71 ,3.71 ,
EASE,5,Ambiguous,Both,428,305,519,NV,327,42,4,2,1,1.62324929,2.99 ,2.99 ,2.99 ,2.99 ,
EDUCATION,2,Ambiguous,Meaning,408,320,585,N,416,214,9,9,4,2.330413773,3.00 ,3.00 ,3.00 ,3.00 ,
ELBOW,3,Ambiguous,Form,237,607,564,NV,602,10,5,4,2,1,2.50 ,2.50 ,2.50 ,2.50 ,
END,5,Ambiguous,Both,,320,592,NV,462,410,3,3,1,2.612783857,4.13 ,4.13 ,4.13 ,4.13 ,
ENEMY,1,Unambiguous,Unambiguous,367,434,523,N,497,88,5,5,3,1.944482672,3.39 ,3.39 ,3.39 ,3.39 ,
ENTRY,5,Ambiguous,Both,,,492,N,356,26,5,5,2,1.414973348,2.79 ,2.79 ,2.79 ,2.79 ,
ESTIMATION,4,Ambiguous,Meaning,,,,N,,4,10,9,4,0.602059991,1.41 ,1.41 ,1.41 ,1.41 ,
EVENT,1,Unambiguous,Unambiguous,,379,574,N,334,81,5,5,2,1.908485019,3.13 ,3.13 ,3.13 ,3.13 ,
EXAMPLE,1,Unambiguous,Unambiguous,,,,NV,,292,7,7,3,2.465382851,3.18 ,3.18 ,3.18 ,3.18 ,
EXCHANGE,2,Ambiguous,Meaning,443,356,504,NV,394,70,8,8,2,1.84509804,3.01 ,3.01 ,3.01 ,3.01 ,
EXPERIENCE,2,Ambiguous,Meaning,464,275,604,NV,367,276,10,10,3,2.440909082,3.49 ,3.49 ,3.49 ,3.49 ,
EYE,2,Ambiguous,Form,167,634,611,NV,603,122,3,1,1,2.086359831,3.76 ,3.76 ,3.76 ,3.76 ,
FACE,1,Unambiguous,Unambiguous,166,599,612,N,581,371,4,3,1,2.56937391,4.17 ,4.17 ,4.17 ,4.17 ,
FAILURE,1,Unambiguous,Unambiguous,439,282,542,N,437,89,7,5,2,1.949390007,3.01 ,3.01 ,3.01 ,3.01 ,
FAIR,3,Ambiguous,Form,,413,573,OJN,439,77,4,2,1,1.886490725,3.68 ,3.68 ,3.68 ,3.68 ,
FAITH,5,Ambiguous,Both,,,,,,111,5,,1,2.045322979,3.37 ,3.37 ,3.37 ,3.37 ,
FAME,2,Ambiguous,Form,,,,N,,18,4,3,1,1.255272505,2.65 ,2.65 ,2.65 ,2.65 ,
FARM,1,Unambiguous,Unambiguous,,565,564,NV,560,125,4,3,1,2.096910013,3.19 ,3.19 ,3.19 ,3.19 ,
FARMER,2,Ambiguous,Form,,,,N,,23,6,4,2,1.361727836,2.78 ,2.78 ,2.78 ,2.78 ,
FASHION,1,Unambiguous,Unambiguous,467,356,548,NV,474,69,7,5,2,1.838849091,2.98 ,2.98 ,2.98 ,2.98 ,
FATE,2,Ambiguous,Form,,255,502,N,343,33,4,3,1,1.51851394,3.14 ,3.14 ,3.14 ,3.14 ,
FATHER,3,Ambiguous,Form,,594,591,NV,646,183,6,4,2,2.26245109,4.45 ,4.45 ,4.45 ,4.45 ,
FAVOUR,2,Ambiguous,Meaning,,,,NV,,2,6,4,2,0.301029996,2.98 ,2.98 ,2.98 ,2.98 ,
FEELING,3,Ambiguous,Meaning,339,262,612,JN,370,172,7,5,2,2.235528447,3.93 ,3.93 ,3.93 ,3.93 ,
FEVER,1,Unambiguous,Unambiguous,358,492,454,N,563,19,5,4,2,1.278753601,3.01 ,3.01 ,3.01 ,3.01 ,
FIELD,4,Ambiguous,Both,,,,NV,,274,5,4,1,2.437750563,3.55 ,3.55 ,3.55 ,3.55 ,
FIGURE,4,Ambiguous,Both,,472,534,NV,526,209,6,4,2,2.320146286,3.82 ,3.82 ,3.82 ,3.82 ,
FINGER,1,Unambiguous,Unambiguous,,,,NV,,40,6,5,2,1.602059991,3.27 ,3.27 ,3.27 ,3.27 ,
FIRE,1,Unambiguous,Unambiguous,,595,580,NV,634,187,4,3,2,2.271841607,4.04 ,4.04 ,4.04 ,4.04 ,
FIST,1,Unambiguous,Unambiguous,,,,N,,26,4,4,1,1.414973348,2.58 ,2.58 ,2.58 ,2.58 ,
FLAME,1,Unambiguous,Unambiguous,261,582,551,NV,598,17,5,4,1,1.230448921,2.66 ,2.66 ,2.66 ,2.66 ,
FLAW,5,Ambiguous,Both,,,,NV,,3,4,3,1,0.477121255,2.19 ,2.19 ,2.19 ,2.19 ,
FLEA,1,Unambiguous,Unambiguous,,625,515,N,606,2,4,3,1,0.301029996,2.23 ,2.23 ,2.23 ,2.23 ,
FLOOD,1,Unambiguous,Unambiguous,,553,523,NV,598,19,5,4,1,1.278753601,2.47 ,2.47 ,2.47 ,2.47 ,
FLOWER,2,Ambiguous,Form,,584,566,NV,618,23,6,4,2,1.361727836,3.07 ,3.07 ,3.07 ,3.07 ,
FLU,1,Unambiguous,Unambiguous,,,,N,,8,3,3,1,0.903089987,2.65 ,2.65 ,2.65 ,2.65 ,
FLY,3,Ambiguous,Meaning,,525,537,V,582,33,3,3,1,1.51851394,3.64 ,3.64 ,3.64 ,3.64 ,
FOG,1,Unambiguous,Unambiguous,,556,546,NV,606,25,3,3,1,1.397940009,2.68 ,2.68 ,2.68 ,2.68 ,
FOOT,2,Ambiguous,Meaning,,558,583,NV,597,70,4,3,1,1.84509804,3.52 ,3.52 ,3.52 ,3.52 ,
FOREST,1,Unambiguous,Unambiguous,297,609,513,N,633,66,6,6,2,1.819543936,2.98 ,2.98 ,2.98 ,2.98 ,
FORM,7,Ambiguous,Both,383,438,553,NV,452,370,4,3,1,2.568201724,3.34 ,3.34 ,3.34 ,3.34 ,
FOX,2,Ambiguous,Form,283,605,501,N,607,13,3,4,1,1.113943352,3.04 ,3.04 ,3.04 ,3.04 ,
FRIEND,1,Unambiguous,Unambiguous,,450,603,N,587,133,6,5,1,2.123851641,4.33 ,4.33 ,4.33 ,4.33 ,
FROG,2,Ambiguous,Form,258,619,507,N,617,1,4,4,1,0,2.78 ,2.78 ,2.78 ,2.78 ,
FRUIT,1,Unambiguous,Unambiguous,219,612,590,N,587,35,5,4,1,1.544068044,3.04 ,3.04 ,3.04 ,3.04 ,
FUNERAL,2,Ambiguous,Form,,,,N,,33,7,8,3,1.51851394,3.23 ,3.23 ,3.23 ,3.23 ,
FUNNY,7,Ambiguous,Form,,,617,J,468,41,5,4,2,1.612783857,4.05 ,4.05 ,4.05 ,4.05 ,
FUR,3,Ambiguous,Both,,601,530,NV,588,13,3,2,1,1.113943352,2.63 ,2.63 ,2.63 ,2.63 ,
FUTURE,2,Ambiguous,Meaning,414,311,612,JN,413,227,6,6,2,2.356025857,3.72 ,3.72 ,3.72 ,3.72 ,
GAP,5,Ambiguous,Both,,,,N,,17,3,3,1,1.230448921,2.34 ,2.34 ,2.34 ,2.34 ,
GARDEN,2,Ambiguous,Form,186,602,567,,635,60,6,,2,1.77815125,3.13 ,3.13 ,3.13 ,3.13 ,
GARLIC,2,Ambiguous,Form,,636,509,N,565,4,6,5,2,0.602059991,2.49 ,2.49 ,2.49 ,2.49 ,
GAS,4,Ambiguous,Both,339,554,558,NV,532,98,3,3,1,1.991226076,3.54 ,3.54 ,3.54 ,3.54 ,
